##############
# Main walls #
##############
# Main wall side 0:
# Column 0:
H:0.15.1  ; L:11.34  ; A:11.34  ; M:0.14.1  
H:0.15.2  ; L:12.14  ; A:12.14  ; M:0.14.2  
H:0.15.3  ; L:12.34  ; A:12.34  ; M:0.14.3  
H:0.15.4  ; L:13.14  ; A:13.14  ; M:0.14.4  
H:0.15.5  ; L:13.34  ; A:13.34  ; M:0.14.5  
H:0.15.6  ; L:14.14  ; A:14.14  ; M:0.14.6  
H:0.15.7  ; L:14.34  ; A:14.34  ; M:0.14.7  
H:0.15.8  ; L:15.14  ; A:15.14  ; M:0.14.8  
H:0.15.9  ; L:15.34  ; A:15.34  ; M:0.14.9  
H:0.15.10 ; L:16.14  ; A:16.14  ; M:0.14.10 
H:0.15.11 ; L:16.34  ; A:16.34  ; M:0.14.11 
H:0.15.12 ; L:17.14  ; A:17.14  ; M:0.14.12 
# Column 15:
H:0.16.0  ; L:11.15  ; A:11.15  ; M:0.15.0  
H:0.16.1  ; L:11.35  ; A:11.35  ; M:0.15.1  
H:0.16.2  ; L:12.15  ; A:12.15  ; M:0.15.2  
H:0.16.3  ; L:12.35  ; A:12.35  ; M:0.15.3  
H:0.16.4  ; L:13.15  ; A:13.15  ; M:0.15.4  
H:0.16.5  ; L:13.35  ; A:13.35  ; M:0.15.5  
H:0.16.6  ; L:14.15  ; A:14.15  ; M:0.15.6  
H:0.16.7  ; L:14.35  ; A:14.35  ; M:0.15.7  
H:0.16.8  ; L:15.15  ; A:15.15  ; M:0.15.8  
H:0.16.9  ; L:15.35  ; A:15.35  ; M:0.15.9  
H:0.16.10 ; L:16.15  ; A:16.15  ; M:0.15.10 
H:0.16.11 ; L:16.35  ; A:16.35  ; M:0.15.11 
H:0.16.12 ; L:17.15  ; A:17.15  ; M:0.15.12 
# Column 16:
H:0.17.0  ; L:11.16  ; A:11.16  ; M:0.16.0  
H:0.17.1  ; L:11.36  ; A:11.36  ; M:0.16.1  
H:0.17.2  ; L:12.16  ; A:12.16  ; M:0.16.2  
H:0.17.3  ; L:12.36  ; A:12.36  ; M:0.16.3  
H:0.17.4  ; L:13.16  ; A:13.16  ; M:0.16.4  
H:0.17.5  ; L:13.36  ; A:13.36  ; M:0.16.5  
H:0.17.6  ; L:14.16  ; A:14.16  ; M:0.16.6  
H:0.17.7  ; L:14.36  ; A:14.36  ; M:0.16.7  
H:0.17.8  ; L:15.16  ; A:15.16  ; M:0.16.8  
H:0.17.9  ; L:15.36  ; A:15.36  ; M:0.16.9  
H:0.17.10 ; L:16.16  ; A:16.16  ; M:0.16.10 
H:0.17.11 ; L:16.36  ; A:16.36  ; M:0.16.11 
H:0.17.12 ; L:17.16  ; A:17.16  ; M:0.16.12 
# Column 17:
H:0.18.0  ; L:11.17  ; A:11.17  ; M:0.17.0  
H:0.18.1  ; L:11.37  ; A:11.37  ; M:0.17.1  
H:0.18.2  ; L:12.17  ; A:12.17  ; M:0.17.2  
H:0.18.3  ; L:12.37  ; A:12.37  ; M:0.17.3  
H:0.18.4  ; L:13.17  ; A:13.17  ; M:0.17.4  
H:0.18.5  ; L:13.37  ; A:13.37  ; M:0.17.5  
H:0.18.6  ; L:14.17  ; A:14.17  ; M:0.17.6  
H:0.18.7  ; L:14.37  ; A:14.37  ; M:0.17.7  
H:0.18.8  ; L:15.17  ; A:15.17  ; M:0.17.8  
H:0.18.9  ; L:15.37  ; A:15.37  ; M:0.17.9  
H:0.18.10 ; L:16.17  ; A:16.17  ; M:0.17.10 
H:0.18.11 ; L:16.37  ; A:16.37  ; M:0.17.11 
H:0.18.12 ; L:17.17  ; A:17.17  ; M:0.17.12 
# Column 18:
H:0.19.0  ; L:11.18  ; A:11.18  ; M:0.18.0  
H:0.19.1  ; L:11.38  ; A:11.38  ; M:0.18.1  
H:0.19.2  ; L:12.18  ; A:12.18  ; M:0.18.2  
H:0.19.3  ; L:12.38  ; A:12.38  ; M:0.18.3  
H:0.19.4  ; L:13.18  ; A:13.18  ; M:0.18.4  
H:0.19.5  ; L:13.38  ; A:13.38  ; M:0.18.5  
H:0.19.6  ; L:14.18  ; A:14.18  ; M:0.18.6  
H:0.19.7  ; L:14.38  ; A:14.38  ; M:0.18.7  
H:0.19.8  ; L:15.18  ; A:15.18  ; M:0.18.8  
H:0.19.9  ; L:15.38  ; A:15.38  ; M:0.18.9  
H:0.19.10 ; L:16.18  ; A:16.18  ; M:0.18.10 
H:0.19.11 ; L:16.38  ; A:16.38  ; M:0.18.11 
