# Table extracted from DocDB 4796-v1
# Author : Ramon Salazar
# Date   : 2019-01-07

S:7.48 ; X:1.1.0.11
S:7.49 ; M:1.10.8
S:7.50 ; M:1.11.8
S:7.51 ; M:1.12.8
S:7.52 ; M:1.13.8
S:7.53 ; M:1.14.8
S:7.54 ; M:1.15.8
S:7.55 ; M:1.16.8
S:7.56 ; M:1.17.8
S:7.57 ; M:1.18.8
S:7.58 ; M:1.19.8
S:7.59 ; X:1.1.1.10
S:7.60 ; X:1.1.0.10
# Sp:7.61 ; Spare
# Sp:7.62 ; Spare
# Sp:7.63 ; Spare
# Sp:7.64 ; Spare

S:8.1 ; X:1.0.0.9
S:8.2 ; X:1.0.1.9
S:8.3 ; M:1.0.7
S:8.4 ; M:1.1.7
S:8.5 ; M:1.2.7
S:8.6 ; M:1.3.7
S:8.7 ; M:1.4.7
S:8.8 ; M:1.5.7
S:8.9 ; X:1.0.0.8
S:8.10 ; X:1.0.1.8
S:8.11 ; M:1.0.6
S:8.12 ; M:1.1.6
S:8.13 ; M:1.2.6
S:8.14 ; M:1.3.6
S:8.15 ; M:1.4.6
S:8.16 ; M:1.5.6
S:8.17 ; X:1.0.0.7
S:8.18 ; X:1.0.1.7
S:8.19 ; M:1.0.5
S:8.20 ; M:1.1.5
S:8.21 ; M:1.2.5
S:8.22 ; M:1.3.5
S:8.23 ; M:1.4.5
S:8.24 ; M:1.5.5
S:8.25 ; X:1.0.0.6
S:8.26 ; X:1.0.1.6
S:8.27 ; M:1.0.4
S:8.28 ; M:1.1.4
S:8.29 ; M:1.2.4
S:8.30 ; M:1.3.4
S:8.31 ; M:1.4.4
S:8.32 ; M:1.5.4
S:8.33 ; X:1.0.0.5
S:8.34 ; X:1.0.1.5
S:8.35 ; M:1.0.3
S:8.36 ; M:1.1.3
S:8.37 ; M:1.2.3
S:8.38 ; M:1.3.3
S:8.39 ; M:1.4.3
S:8.40 ; M:1.5.3
S:8.41 ; X:1.0.0.4
S:8.42 ; X:1.0.1.4
S:8.43 ; M:1.0.2
S:8.44 ; M:1.1.2
S:8.45 ; M:1.2.2
S:8.46 ; M:1.3.2
S:8.47 ; M:1.4.2
S:8.48 ; M:1.5.2
S:8.49 ; X:1.0.0.3
S:8.50 ; X:1.0.1.3
S:8.51 ; M:1.0.1
S:8.52 ; M:1.1.1
S:8.53 ; M:1.2.1
S:8.54 ; M:1.3.1
S:8.55 ; M:1.4.1
S:8.56 ; M:1.5.1
S:8.57 ; X:1.0.0.2
S:8.58 ; X:1.0.1.2
S:8.59 ; X:1.0.0.1
S:8.60 ; X:1.0.1.1
S:8.61 ; X:1.0.0.0
S:8.62 ; X:1.0.1.0
S:8.63 ; G:1.0.0
S:8.64 ; G:1.0.1
S:8.65 ; G:1.0.2
S:8.66 ; G:1.0.3
# Sp:8.67 ; Spare
# Sp:8.68 ; Spare
# Sp:8.69 ; Spare
# Sp:8.70 ; Spare

S:9.1 ; M:1.6.7
S:9.2 ; M:1.7.7
S:9.3 ; M:1.8.7
S:9.4 ; M:1.9.7
S:9.5 ; M:1.10.7
S:9.6 ; M:1.11.7
S:9.7 ; M:1.12.7
S:9.8 ; M:1.13.7
S:9.9 ; M:1.6.6
S:9.10 ; M:1.7.6
S:9.11 ; M:1.8.6
S:9.12 ; M:1.9.6
S:9.13 ; M:1.10.6
S:9.14 ; M:1.11.6
S:9.15 ; M:1.12.6
S:9.16 ; M:1.13.6
S:9.17 ; M:1.6.5
S:9.18 ; M:1.7.5
S:9.19 ; M:1.8.5
S:9.20 ; M:1.9.5
S:9.21 ; M:1.10.5
S:9.22 ; M:1.11.5
S:9.23 ; M:1.12.5
S:9.24 ; M:1.13.5
S:9.25 ; M:1.6.4
S:9.26 ; M:1.7.4
S:9.27 ; M:1.8.4
S:9.28 ; M:1.9.4
S:9.29 ; M:1.10.4
S:9.30 ; M:1.11.4
S:9.31 ; M:1.12.4
S:9.32 ; M:1.13.4
S:9.33 ; M:1.6.3
S:9.34 ; M:1.7.3
S:9.35 ; M:1.8.3
S:9.36 ; M:1.9.3
S:9.37 ; M:1.10.3
S:9.38 ; M:1.11.3
S:9.39 ; M:1.12.3
S:9.40 ; M:1.13.3
S:9.41 ; M:1.6.2
S:9.42 ; M:1.7.2
S:9.43 ; M:1.8.2
S:9.44 ; M:1.9.2
S:9.45 ; M:1.10.2
S:9.46 ; M:1.11.2
S:9.47 ; M:1.12.2
S:9.48 ; M:1.13.2
S:9.49 ; M:1.6.1
S:9.50 ; M:1.7.1
S:9.51 ; M:1.8.1
S:9.52 ; M:1.9.1
S:9.53 ; M:1.10.1
S:9.54 ; M:1.11.1
S:9.55 ; M:1.12.1
S:9.56 ; M:1.13.1
S:9.57 ; G:1.0.4
S:9.58 ; G:1.0.5
S:9.59 ; G:1.0.6
S:9.60 ; G:1.0.7
S:9.61 ; G:1.0.8
S:9.62 ; G:1.0.9
S:9.63 ; G:1.0.10
S:9.64 ; G:1.0.11
# Sp:9.65 ; Spare
# Sp:9.66 ; Spare
# Sp:9.67 ; Spare
# Sp:9.68 ; Spare

S:10.1 ; M:1.14.7
S:10.2 ; M:1.15.7
S:10.3 ; M:1.16.7
S:10.4 ; M:1.17.7
S:10.5 ; M:1.18.7
S:10.6 ; M:1.19.7
S:10.7 ; X:1.1.1.9
S:10.8 ; X:1.1.0.9
S:10.9 ; M:1.14.6
S:10.10 ; M:1.15.6
S:10.11 ; M:1.16.6
S:10.12 ; M:1.17.6
S:10.13 ; M:1.18.6
S:10.14 ; M:1.19.6
S:10.15 ; X:1.1.1.8
S:10.16 ; X:1.1.0.8
S:10.17 ; M:1.14.5
S:10.18 ; M:1.15.5
S:10.19 ; M:1.16.5
S:10.20 ; M:1.17.5
S:10.21 ; M:1.18.5
S:10.22 ; M:1.19.5
S:10.23 ; X:1.1.1.7
S:10.24 ; X:1.1.0.7
S:10.25 ; M:1.14.4
S:10.26 ; M:1.15.4
S:10.27 ; M:1.16.4
S:10.28 ; M:1.17.4
S:10.29 ; M:1.18.4
S:10.30 ; M:1.19.4
S:10.31 ; X:1.1.1.6
S:10.32 ; X:1.1.0.6
S:10.33 ; M:1.14.3
S:10.34 ; M:1.15.3
S:10.35 ; M:1.16.3
S:10.36 ; M:1.17.3
S:10.37 ; M:1.18.3
S:10.38 ; M:1.19.3
S:10.39 ; X:1.1.1.5
S:10.40 ; X:1.1.0.5
S:10.41 ; M:1.14.2
S:10.42 ; M:1.15.2
S:10.43 ; M:1.16.2
S:10.44 ; M:1.17.2
S:10.45 ; M:1.18.2
S:10.46 ; M:1.19.2
S:10.47 ; X:1.1.1.4
S:10.48 ; X:1.1.0.4
S:10.49 ; M:1.14.1
S:10.50 ; M:1.15.1
S:10.51 ; M:1.16.1
S:10.52 ; M:1.17.1
S:10.53 ; M:1.18.1
S:10.54 ; M:1.19.1
S:10.55 ; X:1.1.1.3
S:10.56 ; X:1.1.0.3
S:10.57 ; X:1.1.1.2
S:10.58 ; X:1.1.0.2
S:10.59 ; X:1.1.1.1
S:10.60 ; X:1.1.0.1
S:10.61 ; G:1.0.12
S:10.62 ; G:1.0.13
S:10.63 ; G:1.0.14
S:10.64 ; G:1.0.15
S:10.65 ; X:1.1.1.0
S:10.66 ; X:1.1.0.0
# Sp:10.67 ; Spare
# Sp:10.68 ; Spare
# Sp:10.69 ; Spare
# Sp:10.70 ; Spare

S:11.1 ; X:0.0.0.15
S:11.2 ; X:0.0.1.15
S:11.3 ; G:0.1.0
S:11.4 ; G:0.1.1
S:11.5 ; G:0.1.2
